OBJECTID, FIRE_SIZE, LATITUDE, LONGITUDE
148480, 73121.0, 37.43333333, -107.78305556
149721, 12995.0, 35.9525, -105.83555556
149738, 48079.6, 43.09777778, -122.73666667
149743, 10063.4, 43.09583333, -122.5525
149801, 17600.0, 43.28472222, -122.68361111
150063, 42799.0, 37.95833333, -112.20833333
150066, 8100.0, 37.41, -113.33777778
150208, 14403.0, 40.70833333, -106.78138889
150222, 16852.0, 40.81472222, -106.81444444
150577, 16948.0, 44.31972222, -119.63694444
150670, 20038.0, 40.94888889, -109.44333333
150689, 30600.0, 32.37416667, -110.61
151223, 6400.0, 37.05805556, -118.36861111
151398, 7858.0, 48.92444444, -120.47055556
151811, 23020.0, 38.45611111, -119.54555556
151965, 21645.0, 34.60916667, -119.36416667
151967, 13433.0, 42.62083333, -108.79083333
152281, 69900.0, 45.66138889, -104.11888889
152417, 150696.0, 35.87361111, -118.45805556
152550, 13525.0, 33.31666667, -108.55027778
153189, 14208.0, 40.93777778, -110.80027778
153237, 13493.0, 39.68444444, -107.49472222
153238, 17056.0, 39.99416667, -107.28666667
153243, 12209.0, 39.54333333, -107.42333333
153380, 24667.0, 44.28527778, -118.27944444
153430, 9133.0, 44.27916667, -118.68361111
153687, 38179.0, 31.485, -110.60194444
153706, 499945.0, 42.03888889, -123.91166667
153792, 12443.0, 43.93333333, -103.34833333
153904, 54800.0, 42.92416667, -121.03666667
153907, 24565.0, 42.99166667, -121.17416667
153915, 14855.0, 42.31222222, -105.41
154313, 33894.0, 42.74888889, -120.68333333
154400, 137760.0, 39.0575, -105.40833333
154540, 6559.0, 34.23611111, -117.43194444
154632, 37240.0, 34.23027778, -117.7875
155258, 9294.0, 37.62694444, -106.6675
157586, 9674.0, 45.56166667, -115.205
157662, 6080.0, 45.14388889, -115.26027778
157766, 10504.0, 45.56638889, -116.56694444
158160, 37405.0, 47.08611111, -112.6425
158701, 63720.0, 34.4875, -118.75888889
158815, 21135.0, 43.58527778, -121.85638889
158949, 12467.0, 46.55666667, -114.43
159031, 11300.0, 47.41916667, -113.83194444
159081, 17568.0, 43.61472222, -104.005
159085, 11833.0, 46.0525, -114.83361111
159086, 12011.0, 46.02472222, -115.2925
159199, 12900.0, 33.93361111, -111.15138889
159763, 79734.0, 44.435, -121.83111111
159785, 11035.0, 44.63638889, -121.75861111
159883, 46681.0, 45.84194444, -113.3175
159898, 6529.0, 35.87805556, -105.79861111
160479, 6970.0, 44.68194444, -115.68416667
160518, 8296.0, 46.37083333, -113.93222222
160707, 91281.0, 34.19694444, -117.27611111
160740, 33948.0, 46.85027778, -114.75388889
160747, 25202.0, 47.02527778, -113.83472222
161308, 14194.0, 48.18944444, -113.91055556
161550, 10644.0, 33.6775, -109.25833333
161551, 6105.0, 33.61027778, -109.26277778
161620, 50981.0, 48.88361111, -114.55111111
161621, 57273.0, 48.49388889, -114.16583333
161644, 82440.0, 32.43, -110.77166667
161791, 14845.0, 47.41916667, -113.23805556
161797, 11213.0, 47.78111111, -113.33611111
161799, 11772.0, 47.46222222, -113.38666667
161875, 7520.0, 48.01555556, -113.73833333
162031, 13843.0, 44.74833333, -113.71722222
162051, 10567.0, 45.03333333, -113.83333333
162096, 25007.0, 44.69833333, -114.76444444
162128, 6721.0, 36.21805556, -118.13138889
162198, 7828.0, 40.45055556, -111.58111111
162639, 9940.0, 41.75305556, -121.32388889
162839, 81343.0, 48.75305556, -120.17972222
163422, 21300.0, 48.6, -120.66666667
163504, 7400.0, 44.98611111, -107.65138889
163512, 6980.0, 44.89416667, -109.35916667
163551, 10953.0, 44.13166667, -109.56972222
163771, 280059.0, 32.98555556, -116.7275
163883, 56427.0, 33.25555556, -116.95277778
164069, 18585.0, 33.20138889, -108.48583333
164074, 65000.0, 33.10222222, -108.40222222
164079, 27600.0, 33.35083333, -108.46916667
164285, 26560.0, 43.81888889, -115.31694444
164505, 6058.0, 39.61666667, -122.85083333
164704, 24400.0, 45.66527778, -121.93444444
165156, 26279.0, 30.13333333, -84.6
165604, 34660.0, 30.35833333, -82.48333333
167121, 16020.0, 32.84166667, -105.61666667
168826, 8723.0, 39.15444444, -119.82361111
169287, 10000.0, 37.46583333, -113.89027778
169288, 8000.0, 37.46166667, -113.91027778
170346, 17418.0, 34.73666667, -118.65527778
170361, 7905.0, 33.85444444, -109.33861111
170407, 119500.0, 34.08111111, -111.60472222
170588, 16625.0, 33.58638889, -109.28944444
170921, 17218.9, 35.04444444, -111.35722222
171473, 29700.0, 48.085, -120.51972222
171485, 17226.0, 47.93888889, -120.31527778
172139, 29400.0, 32.73861111, -109.99055556
172488, 8595.0, 35.19805556, -108.14611111
174957, 158000.0, 26.2337, -80.7665
175083, 27000.0, 26.3337, -80.8165
183520, 11420.0, 48.1333, -95.5003
187773, 7494.0, 47.3541, -114.4635
188357, 33490.0, 44.8665, -121.2845
188459, 118230.0, 44.9832, -121.3512
188828, 6172.0, 44.9479, -121.4634
188867, 6985.0, 48.1282, -119.2461
189373, 15238.0, 48.3832, -119.3345
190358, 7926.0, 46.1649, -120.1281
